ts,device,co,humidity,light,lpg,motion,smoke,temp
1594512223,00:0f:00:70:91:0a,0.002905015,76,FALSE,0.005198697,FALSE,0.013508733,19.70000076
1594512224,b8:27:eb:bf:9d:51,0.004926209,50.8,FALSE,0.007617594,FALSE,0.020316591,22.6
1594512226,1c:bf:ce:15:ec:4d,0.004451498,78.19999695,TRUE,0.007079184,FALSE,0.018786491,27
1594512227,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512227,b8:27:eb:bf:9d:51,0.004964565,50.8,FALSE,0.007660453,FALSE,0.020438717,22.6
1594512231,b8:27:eb:bf:9d:51,0.004963087,50.8,FALSE,0.007658803,FALSE,0.020434015,22.6
1594512233,00:0f:00:70:91:0a,0.002872341,76,FALSE,0.005156333,FALSE,0.013391177,19.70000076
1594512234,1c:bf:ce:15:ec:4d,0.004451498,78.19999695,TRUE,0.007079184,FALSE,0.018786491,27
1594512235,b8:27:eb:bf:9d:51,0.004960361,50.9,FALSE,0.00765576,FALSE,0.020425342,22.6
1594512239,b8:27:eb:bf:9d:51,0.004966005,50.9,FALSE,0.007662061,FALSE,0.020443298,22.6
1594512239,00:0f:00:70:91:0a,0.002872341,76.09999847,FALSE,0.005156333,FALSE,0.013391177,19.79999924
1594512240,1c:bf:ce:15:ec:4d,0.004467861,78.19999695,TRUE,0.007097999,FALSE,0.01883983,27
1594512243,b8:27:eb:bf:9d:51,0.004976012,50.9,FALSE,0.007673227,FALSE,0.020475126,22.6
1594512244,00:0f:00:70:91:0a,0.002872341,76,FALSE,0.005156333,FALSE,0.013391177,19.79999924
1594512246,b8:27:eb:bf:9d:51,0.004999033,51,FALSE,0.007698891,FALSE,0.020548282,22.7
1594512247,1c:bf:ce:15:ec:4d,0.004439323,78.19999695,TRUE,0.007065172,FALSE,0.018746775,27
1594512248,00:0f:00:70:91:0a,0.002792826,76,FALSE,0.005052672,FALSE,0.013103809,19.79999924
1594512250,b8:27:eb:bf:9d:51,0.004927688,51,FALSE,0.007619248,FALSE,0.020321305,22.7
1594512253,00:0f:00:70:91:0a,0.002872341,76,FALSE,0.005156333,FALSE,0.013391177,19.70000076
1594512254,b8:27:eb:bf:9d:51,0.004965923,51,FALSE,0.007661969,FALSE,0.020443038,22.7
1594512254,1c:bf:ce:15:ec:4d,0.004459671,78,TRUE,0.007088583,FALSE,0.018813138,27
1594512257,b8:27:eb:bf:9d:51,0.004951806,51,FALSE,0.007646207,FALSE,0.020398118,22.6
1594512258,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512259,1c:bf:ce:15:ec:4d,0.004427186,78,TRUE,0.007051194,FALSE,0.018707159,27
1594512261,b8:27:eb:bf:9d:51,0.004951673,51,FALSE,0.007646058,FALSE,0.020397693,22.6
1594512264,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512265,b8:27:eb:bf:9d:51,0.00494175,51,FALSE,0.007634971,FALSE,0.0203661,22.7
1594512268,b8:27:eb:bf:9d:51,0.004946035,51,FALSE,0.007639759,FALSE,0.020379744,22.6
1594512269,1c:bf:ce:15:ec:4d,0.004391004,78,TRUE,0.007009459,FALSE,0.018588908,27
1594512269,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512272,b8:27:eb:bf:9d:51,0.004980273,51,FALSE,0.00767798,FALSE,0.020488672,22.7
1594512273,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512274,1c:bf:ce:15:ec:4d,0.004439323,78,TRUE,0.007065172,FALSE,0.018746775,27
1594512276,b8:27:eb:bf:9d:51,0.004987461,51,FALSE,0.007685995,FALSE,0.02051152,22.7
1594512277,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512279,1c:bf:ce:15:ec:4d,0.004359263,77.90000153,TRUE,0.006972767,FALSE,0.018484988,27
1594512279,b8:27:eb:bf:9d:51,0.004991805,51,FALSE,0.007690836,FALSE,0.02052532,22.6
1594512283,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512283,b8:27:eb:bf:9d:51,0.004943183,51,FALSE,0.007636572,FALSE,0.020370662,22.6
1594512284,1c:bf:ce:15:ec:4d,0.004391004,77.90000153,TRUE,0.007009459,FALSE,0.018588908,27
1594512287,b8:27:eb:bf:9d:51,0.004961647,51,FALSE,0.007657197,FALSE,0.020429436,22.7
1594512290,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512290,b8:27:eb:bf:9d:51,0.004975983,51,FALSE,0.007673195,FALSE,0.020475034,22.7
1594512291,1c:bf:ce:15:ec:4d,0.004391004,78,TRUE,0.007009459,FALSE,0.018588908,27
1594512294,b8:27:eb:bf:9d:51,0.004967364,51,FALSE,0.007663577,FALSE,0.020447621,22.7
1594512294,00:0f:00:70:91:0a,0.002792826,76.19999695,FALSE,0.005052672,FALSE,0.013103809,19.79999924
1594512297,1c:bf:ce:15:ec:4d,0.004391004,77.90000153,TRUE,0.007009459,FALSE,0.018588908,27
1594512298,b8:27:eb:bf:9d:51,0.004963087,51,FALSE,0.007658803,FALSE,0.020434015,22.6
1594512299,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512302,b8:27:eb:bf:9d:51,0.004990409,51,FALSE,0.007689281,FALSE,0.020520886,22.6
1594512303,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512305,b8:27:eb:bf:9d:51,0.004965923,51,FALSE,0.007661969,FALSE,0.020443038,22.7
1594512309,b8:27:eb:bf:9d:51,0.004947492,51,FALSE,0.007641387,FALSE,0.020384384,22.6
